Pattern Key,Name,Pattern,Description,Tempo
Down-Up,Basic Down-Up,D - U - D - U -,Simple down-up strumming pattern,Moderate (80-120 BPM)
Island,Island Strum,D - D U - U D U,Relaxed island/reggae feel,Slow to Moderate (70-100 BPM)
Folk,Folk Strum,D - D U D U D U,Classic folk strumming pattern,Moderate (90-130 BPM)
Ballad,Ballad Strum,D - - - D - U -,"Slow, emotional ballad pattern",Slow (60-80 BPM)
Country,Country Strum,D - D - D U - U,Country shuffle pattern,Moderate to Fast (100-140 BPM)
Waltz,Waltz (3/4),D - - U - -,Triple meter waltz pattern,Moderate (90-150 BPM)
Punk,Punk Rock,D D D D D D D D,Fast downstroke pattern,Fast (140-180 BPM)
Swing,Swing Feel,D - U D - U - -,Jazz swing strumming,Moderate (100-140 BPM)
Quarter-Notes,Quarter Notes,D D D D,"Downstrokes on beats 1,2,3,4",Any tempo
Eighth-Notes,Full Eighths,D U D U D U D U,Straight eighth notes,Moderate (80-140 BPM)
Syncopated,Syncopated,D D U U D U,Syncopated eighth-note strum,Moderate (90-120 BPM)
Mixed-Beats,Mixed Beats,D DU UD,Mixed strum with syncopation,Moderate (100-130 BPM)
Eight-Downs,Eight Downstrokes,D D D D D D D D,Driving downstrokes,Fast (120-160 BPM)
Muted-Offbeats,Muted Offbeats,D U X U D U X U,Muted strums on off-beats,Moderate (90-130 BPM)
Riptide-Style,Riptide Style,D D U U D U D U,Syncopated indie-pop feel,Moderate (100-120 BPM)
Sixteenth-Notes,Sixteenth Notes,D e & a D e & a,Sixteenth note flow,Fast (120-180 BPM)
Upstroke-Only,Upstroke Only,U U U U,Upstroke groove,Moderate (80-120 BPM)
Triplets,Triplets,D U D D U D,Triplet feel strumming,Moderate (90-140 BPM)
Calypso,Calypso,D DU U-D-U,Bouncy calypso rhythm,Moderate (100-140 BPM)
Folk-Bass,Folk Bass Strum,B D U D U,Bass then strum pattern,Moderate (80-120 BPM)
Percussive,Percussive,D X D X,Choppy muted rhythm,Moderate (90-130 BPM)
Bass-Variation,Bass + Strum,B D U B D U,Alternating bass + strum,Moderate (80-120 BPM)
Classic-Rock,Classic Rock,D - D -,Rock backbeat strum,Fast (120-160 BPM)
Funk-RnB,Funk/R&B Groove,D U X D U X U D,Syncopated funk groove,Moderate (90-130 BPM)
Gypsy-Rock,Gypsy Rock,B X P X P X,Percussive thumb + strum,Fast (130-170 BPM)
Pop-Punk,Pop-Punk Fast,D D D D D D D D,Energetic punk strum,Very Fast (160-200 BPM)
Bossa-Nova,Bossa Nova,D - U D U - D U,Syncopated Latin groove,Moderate (100-130 BPM)
New-Orleans,New Orleans Groove,DDU UD UDD,Bluesy New Orleans style,Moderate (90-120 BPM)
Swing-Rhythm,Swing Rhythm,D~ U D~ U,Long-short swing strum,Moderate (100-140 BPM)
Punk-Eighths,Punk All Downstrokes,D D D D D D D D,Aggressive punk drive,Very Fast (150-200 BPM)
Offbeat-Reggae,Reggae Offbeat,- U - U - U - U,Accented off-beats,Slow to Moderate (60-100 BPM)
Flamenco-Rasgueado,Flamenco Rasgueado,r r r r,Rapid rolling strum,Fast (140-200 BPM)
Shuffle-Blues,Blues Shuffle,D - U D - U D - U,Blues shuffle feel,Moderate (90-120 BPM)
Ska,Ska Strum,- U - U - U - U,Bright offbeat upstrokes,Fast (120-180 BPM)
Jazz-Comping,Jazz Comp,D - U - U D -,Loose jazz comping,Moderate (100-140 BPM)
Disco,Disco Strum,D U X U D U X U,Four-on-the-floor funky,Fast (120-160 BPM)
Rock-Ballad,Rock Ballad,D - - U D - - U,Spacey ballad strum,Slow (70-100 BPM)
Metal-Gallop,Gallop Strum,D - D U D - D U,Driving metal gallop,Very Fast (160-200 BPM)
12/8-Feel,12/8 Blues,D - U D - U D -,Triplet 12/8 strum,Moderate (80-120 BPM)
Flamenco-Tremolo,Flamenco Tremolo,Drrr Drrr,Flamenco tremolo feel,Fast (150-200 BPM)
Americana,Americana Strum,B D U D - U,Bass + rootsy groove,Moderate (80-120 BPM)
March,March Rhythm,D - D - D - D -,Military march strum,Moderate (90-120 BPM)
Funk-Sixteenths,Funk Sixteenths,D U X U D X U D,Funky sixteenth rhythm,Fast (120-160 BPM)
Celtic-Jig,Celtic Jig,D U D D U D,Jig feel in 6/8,Moderate (90-130 BPM)
Tango,Tango Strum,D - U D D U -,Argentinian tango style,Moderate (80-120 BPM)
Samba,Samba Strum,D - U U D - U,Brazilian samba rhythm,Fast (120-160 BPM)
Bossanova-Slow,Slow Bossa,B D U - U D -,Relaxed Latin strum,Slow (70-100 BPM)
Funk-Choppy,Funk Choppy,D X U X D U X U,Tight percussive funk,Moderate (100-140 BPM)
Rock-Drive,Driving Rock,D D U D D U,Driving eighths,Fast (120-160 BPM)
Indie-Pop,Indie Pop,D U - U D U D -,Syncopated indie groove,Moderate (90-120 BPM)
Gospel,Gospel Feel,D D U U D U,Worship/gospel groove,Moderate (80-110 BPM)
Shuffle-Country,Country Shuffle,D - U D - U D -,Laid-back shuffle,Moderate (90-120 BPM)
Celtic-Reel,Celtic Reel,D U D U D U D U,Reel pattern in 4/4,Moderate (100-140 BPM)
Rumba,Rumba Strum,D - X U D U X U,Spanish rumba feel,Moderate (100-140 BPM)
Swing-Jazz,Jazz Swing,D - U D - U - U,Triplet swing style,Moderate (100-140 BPM)
Bluegrass,Bluegrass Strum,B D U B D U,Alternating bass bluegrass,Fast (120-160 BPM)
Funk-Accent,Funk Accent,D - X U - X U D,Funk accents,Moderate (100-140 BPM)
Rockabilly,Rockabilly,B D U - B D U,Bass alternating with strums,Fast (110-150 BPM)
Flamenco-Bulería,Bulería,D r r r D r,Flamenco bulería rhythm,Fast (140-180 BPM)
Afro-Cuban,Afro-Cuban Strum,D - U - U D U,Latin clave strum,Moderate (100-130 BPM)
Shuffle-Jazz,Jazz Shuffle,D - U D - U D -,Swing shuffle,Moderate (90-120 BPM)
EDM-Acoustic,EDM Style,D U D U - U D U,Four-on-floor EDM vibe,Fast (120-160 BPM)
Bossanova-Fast,Fast Bossa,B D U D - U D,Driving Latin bossa,Fast (120-150 BPM)
Rock-Anthem,Anthem Strum,D D - U D D - U,Stadium rock feel,Fast (110-150 BPM)
Blues-Slow,Slow Blues,D - D U - U D -,Laid back blues,Slow (70-100 BPM)
Soul,Soul Strum,D U - X D U - X,Funky soul accent groove,Moderate (90-130 BPM)
Ska-Punk,Ska Punk,- U - U D D D D,Ska intro + punk drive,Fast (140-180 BPM)
Funk-Percussive,Funk Perc,X D U X D U X D,Percussive funk groove,Moderate (100-140 BPM)
Latin-Guajira,Guajira,D U - U D U -,Cuban guajira feel,Moderate (100-120 BPM)
Bolero,Bolero,D - U - D U -,Romantic bolero style,Slow (60-90 BPM)
Flamenco-Tangos,Tangos Flamencos,D U X D U -,Traditional flamenco tangos,Moderate (100-130 BPM)
Rock-Power,Power Strum,D D U D D U,Big chord drive,Fast (120-160 BPM)
Funk-Disco,Disco Groove,D U X U D U X U,70s disco style,Fast (110-140 BPM)
Waltz-Slow,Slow Waltz,D - U - U -,Romantic 3/4 waltz,Slow (60-90 BPM)
Reggae-OneDrop,One Drop,- - D - U -,Reggae one-drop rhythm,Slow to Moderate (70-100 BPM)
Salsa,Salsa Strum,D - U D U - U,Cuban salsa rhythm,Fast (120-160 BPM)
Flamenco-Soleá,Soleá,D r D r r D,Soleá flamenco style,Slow to Moderate (70-100 BPM)
Mambo,Mambo Strum,D - U - D U D,Latin mambo groove,Fast (120-150 BPM)
Shuffle-Rock,Rock Shuffle,D - U D - U D -,Driving shuffle,Moderate (100-140 BPM)
ChaCha,Cha-Cha Strum,D - U D U D -,Cha-cha rhythm,Moderate (100-140 BPM)
Rock-Stop,Stop Strum,D - - - (stop),Rock stop hits,Any tempo
Funk-Scratch,Scratch Strum,X U X D U X D,Percussive funk scratch,Fast (120-160 BPM)
Habanera,Habanera Strum,D - - U D - U -,Cuban habanera,Moderate (90-120 BPM)
Flamenco-Fandango,Fandango,D r r D r r,Fast flamenco fandango,Fast (140-180 BPM)
Funk-Offbeat,Offbeat Funk,- U - X D U -,Funky upstroke accents,Moderate (100-130 BPM)
Rock-16ths,Rock Sixteenths,D U D U D U D U,Continuous sixteenths,Fast (120-160 BPM)
Latin-Tango,Tango Argentino,D - U D - D U,Argentine tango,Moderate (80-120 BPM)
Jazz-Ballad,Jazz Ballad,D - - U D - -,Slow jazz strum,Slow (60-90 BPM)
Afrobeat,Afrobeat Strum,D U X U D - U D,Nigerian afrobeat feel,Fast (110-150 BPM)
Samba-Bossa,Samba-Bossa,D U D - U D U,Samba-bossa hybrid,Fast (120-160 BPM)
Funk-Reggae,Funky Reggae,- U - U X U D,Reggae funk fusion,Moderate (90-120 BPM)
